net,length_um
_087_,490.8
_088_,463.78
net104,412.26
net38,404.24
net100,400.64
net96,397.505
clknet_0_clk,387.08
net110,383.7
net81,380.82
net51,376.32
net48,376.14
net6,366.83
net116,365.36
_098_,364.775
_102_,363.21
net56,353.86
net62,352.62
_094_,341.72
net105,341.155
_095_,339.47
net63,336.5
net50,334.06
net19,332.51
_080_,330.5
net74,329.28
_177_,327.36
net14,325.5
_100_,323.69
net18,322.2
net41,321.22
net67,320.32
net99,316.52
net2,316.32
net54,314.06
net49,311.28
net127,306.705
net94,306.215
_166_,305.99
_175_,301.96
net16,301.5
_089_,300.28
net130,299.245
net60,297.7
net103,296.32
net42,293.52
net117,292.46
net125,284.78
net114,283.06
net102,277.3
_101_,273.62
net124,271.44
net46,271.42
net95,268.8
net64,268.54
net27,267.88
net91,266.115
net122,264.755
net34,263.98
net4,263.9
net29,260.84
_390_,259.46
net119,259.16
_392_,255.73
net126,255.22
net118,255.02
net66,252.66
net32,250.48
net80,249.96
_373_,249.78
net86,248.5
net53,245.28
net106,245.18
net71,243.875
net85,237.88
net44,237.78
net93,237.58
net23,235.5
net78,234.625
net115,233.86
net76,233.025
_393_,231
net33,229.72
_086_,229.62
net1,228.52
_388_,228.005
net88,226.52
net109,226.175
net65,226.02
net111,225.68
net59,224.94
clk,222.94
net120,222.775
net20,222.5
net90,220.88
net70,214.535
net61,213.04
net28,212.4
net26,212.26
net123,210.24
clknet_3_4__leaf_clk,209.54
net72,206.775
net37,205.98
clknet_3_1__leaf_clk,205.84
net82,205.2
clknet_3_3__leaf_clk,200.96
net101,200.295
net8,199.93
net35,199.54
net92,196.66
clknet_3_2__leaf_clk,196.04
net121,195.64
net98,195.16
clknet_3_0__leaf_clk,194.84
net45,193.14
net24,192.74
net128,191.36
net21,188.14
_379_,184.66
net84,181.125
clknet_3_5__leaf_clk,180.38
net22,180.32
_378_,178.66
net112,175.76
net68,175.705
clknet_3_6__leaf_clk,175.34
net30,172.23
net58,171.86
net36,170.1
net87,169.96
net107,169.84
net5,169.48
net83,168.595
net129,167.705
net15,164.495
net73,164.34
net55,163.4
_160_,161.48
net17,161.18
net7,159.195
net3,157.34
net97,156.86
clknet_3_7__leaf_clk,156.13
_000_,150.26
net11,148.42
_404_,146.96
net108,145.9
net77,143.24
net39,142.86
net89,141.765
_407_,140.615
_099_,139.88
net79,138.925
net13,138.38
_406_,137.85
net31,135.615
net43,126.36
net25,125.28
net40,124.04
_402_,123.93
net75,122.28
net12,122.2
_154_,114.74
_304_,110.06
net57,107.68
net10,101.33
net69,99.06
_372_,96.125
net47,93.3
net113,81.34
_097_,79.22
net9,75.9
_272_,74.38
net52,73.74
_074_,72.94
_234_,72.18
_422_,64.66
_384_,62.12
_093_,56.86
_340_,56.56
_078_,56.22
cnt_act\[1\],56.12
_195_,54.6
_178_,50.36
_129_,49.78
_077_,47.98
_377_,46.2
_324_,45.42
net138,44.46
_187_,43.86
_267_,43.42
estado_act\[1\],43.32
_185_,42.14
_395_,40.36
_264_,39.36
_075_,38.42
_313_,38.06
_341_,38
_412_,37.76
_124_,36.26
_223_,36.18
_164_,35.54
_288_,35.46
_363_,34.915
cnt_act\[2\],34.72
_126_,34
_155_,33.94
_083_,33.28
_210_,33
_212_,32.26
_315_,32.1
_338_,32
_031_,31.545
cnt_act\[0\],31.42
_246_,31.2
_005_,31.125
_180_,30.52
_138_,30.38
_312_,29.9
cnt_act\[3\],29.8
_254_,29.5
estado_act\[0\],29.28
product[45],28.13
_295_,28.12
_361_,28.06
_418_,28.02
_269_,27.82
_200_,27.7
_111_,27.66
_152_,27.36
_266_,27.18
_253_,27.06
_169_,26.9
_215_,26.6
_196_,26.36
_091_,26.08
_159_,25.98
_353_,25.52
_033_,24.995
_415_,24.86
_250_,24.69
_271_,24.38
net142,24.36
_236_,24.16
_084_,23.79
_190_,23.58
_280_,23.5
_113_,23.22
_228_,22.96
_285_,22.84
_232_,22.54
_119_,22.45
_115_,22.28
_144_,22.2
_163_,21.96
_397_,21.82
_199_,21.54
_172_,21.24
_327_,21.24
_227_,21.2
_427_,21.12
_230_,21.105
_209_,20.66
_135_,20.54
_298_,20.4
_321_,20.36
mplier[30],20.19
_376_,20
_216_,19.92
_179_,19.66
_359_,19.66
_409_,19.6
_322_,19.42
_149_,19.12
_032_,19.1
_270_,18.98
_157_,18.705
product[63],18.7
_355_,18.58
_247_,18.26
_245_,18.24
_002_,17.785
_389_,17.52
_027_,17.245
_162_,16.93
_081_,16.76
_380_,16.52
_171_,16.46
_307_,16.38
_360_,16.32
_343_,16.2
_357_,16.06
_252_,16.02
_332_,16.02
_142_,15.86
_348_,15.82
_263_,15.78
_021_,15.685
product[43],15.4
_114_,15.32
_416_,15.3
_305_,15.2
_243_,15.16
mcand[26],15.16
_261_,15.02
product[62],15.02
_259_,14.98
_337_,14.46
_413_,14.46
product[16],14.41
_237_,14.34
_364_,14.16
_123_,14
net135,13.74
_302_,13.66
_103_,13.64
_400_,13.5
_229_,13.355
mcand[19],13.18
mcand[24],13.18
_118_,12.96
product[53],12.82
product[27],12.72
product[46],12.72
product[47],12.72
product[51],12.72
product[6],12.72
_333_,12.62
_258_,12.58
_281_,12.54
net153,12.52
_140_,12.38
_356_,12.28
_105_,12.26
_137_,12.2
_079_,12.16
_054_,12.06
_346_,11.895
net156,11.82
_007_,11.805
_116_,11.7
_383_,11.62
_127_,11.495
_015_,11.405
_289_,11.36
_203_,11.28
product[26],11.26
product[44],11.26
net149,11.22
_125_,11.16
_242_,11.12
product[0],11
product[50],11
_004_,10.985
_208_,10.96
_328_,10.96
cnt_act\[4\],10.94
net144,10.9
mcand[29],10.88
mcand[5],10.88
mplier[10],10.88
mplier[11],10.88
mplier[13],10.88
mplier[1],10.88
mplier[21],10.88
mplier[28],10.88
mplier[4],10.88
mplier[9],10.88
_003_,10.865
_136_,10.84
_051_,10.825
mcand[15],10.76
mcand[17],10.76
mcand[18],10.76
mcand[27],10.76
mcand[8],10.76
mplier[17],10.76
mplier[23],10.76
mplier[26],10.76
mplier[29],10.76
mplier[5],10.76
mplier[8],10.76
product[32],10.67
_260_,10.4
mcand[20],10.23
_300_,10.2
_046_,10.165
_369_,10.12
_365_,10.08
_108_,9.98
product[39],9.98
product[4],9.98
_145_,9.86
_414_,9.78
net136,9.74
_117_,9.54
_287_,9.54
st,9.53
_151_,9.52
_251_,9.5
_352_,9.48
_371_,9.48
_121_,9.36
net132,9.28
_367_,9.26
_060_,9.245
mcand[11],9.07
_207_,9.04
_293_,9
product[17],8.97
product[19],8.97
_193_,8.96
product[1],8.96
product[28],8.96
product[33],8.96
product[58],8.96
product[59],8.96
product[60],8.96
product[7],8.96
net160,8.96
_255_,8.94
_092_,8.9
mcand[0],8.84
mcand[10],8.84
mcand[2],8.84
mcand[30],8.84
mplier[20],8.84
_278_,8.82
_132_,8.74
net161,8.74
mcand[21],8.72
mcand[23],8.72
mcand[25],8.72
mplier[22],8.72
mplier[27],8.72
mplier[2],8.72
mplier[31],8.72
_186_,8.68
_349_,8.68
_351_,8.66
mplier[14],8.61
_342_,8.6
_330_,8.58
acu_act\[64\],8.56
_011_,8.445
_366_,8.44
_009_,8.28
_309_,8.28
_262_,8.26
_421_,8.26
product[21],8.25
mcand[14],8.17
_076_,8.155
mcand[9],8.15
_168_,8.14
_249_,8.14
net159,8.14
_201_,8.06
_174_,8.04
done,8.04
product[15],8.04
product[20],8.04
product[23],8.04
product[29],8.04
product[2],8.04
product[52],8.04
product[57],8.04
_320_,8
_394_,7.94
_428_,7.92
_143_,7.9
_204_,7.84
mplier[18],7.81
_056_,7.705
_336_,7.68
_347_,7.68
net155,7.68
_411_,7.64
_344_,7.58
_398_,7.56
_399_,7.56
_314_,7.54
_303_,7.52
_424_,7.51
_294_,7.4
_374_,7.32
_296_,7.215
_096_,7.18
_147_,7.18
_410_,7.18
_176_,7.14
_049_,7.105
_274_,7.1
_085_,7.06
_107_,7.06
_158_,7.06
_391_,7.06
mcand[28],7.01
_350_,7
_277_,6.98
_218_,6.92
_110_,6.9
net134,6.9
net139,6.9
_010_,6.825
_425_,6.8
mplier[7],6.79
_192_,6.78
mcand[3],6.77
_013_,6.76
_310_,6.76
_329_,6.76
_403_,6.76
net154,6.76
_317_,6.74
_053_,6.685
_225_,6.66
_025_,6.645
_148_,6.64
_420_,6.61
_217_,6.6
_214_,6.54
mcand[1],6.33
_238_,6.32
_197_,6.3
_055_,6.275
_066_,6.265
_331_,6.26
product[10],6.21
product[22],6.21
product[30],6.21
product[34],6.21
product[36],6.21
product[42],6.21
product[55],6.21
product[61],6.21
_339_,6.2
net131,6.2
mcand[22],6.09
_120_,6.03
_039_,6.005
mplier[25],5.97
_286_,5.94
_063_,5.905
product[37],5.87
_308_,5.86
_244_,5.84
_059_,5.74
_222_,5.74
_306_,5.72
_109_,5.68
_220_,5.68
mcand[13],5.65
mcand[16],5.65
mcand[7],5.65
mplier[0],5.65
mplier[15],5.63
product[12],5.53
product[13],5.53
product[3],5.53
product[40],5.53
product[41],5.53
product[54],5.53
product[56],5.53
net133,5.52
net146,5.52
net147,5.52
net150,5.52
net157,5.52
net162,5.52
mplier[6],5.41
_161_,5.38
_239_,5.38
_265_,5.38
_325_,5.38
_319_,5.36
_008_,5.345
_038_,5.34
_202_,5.34
mplier[16],5.31
mplier[19],5.31
mcand[31],5.29
_205_,5.26
_211_,5.26
_273_,5.26
_070_,5.245
_128_,5.22
product[11],5.19
product[18],5.19
product[24],5.19
product[25],5.19
product[48],5.19
_396_,5.16
_362_,5.06
net158,5.06
_037_,4.985
mcand[12],4.95
mcand[4],4.95
_057_,4.905
_043_,4.885
product[14],4.85
product[31],4.85
product[35],4.85
product[38],4.85
product[49],4.85
product[5],4.85
product[8],4.85
product[9],4.85
_022_,4.845
_026_,4.845
_188_,4.82
_275_,4.82
_290_,4.66
_068_,4.625
mplier[12],4.61
mplier[3],4.61
_181_,4.6
net137,4.6
net145,4.6
net152,4.6
_023_,4.585
_040_,4.585
_062_,4.585
_122_,4.585
_071_,4.535
_104_,4.48
_184_,4.48
_311_,4.48
_012_,4.46
_035_,4.46
_153_,4.46
_165_,4.46
_189_,4.46
_256_,4.46
_268_,4.46
_299_,4.46
_052_,4.38
_224_,4.36
_282_,4.36
_034_,4.355
_316_,4.34
_047_,4.065
_134_,4.02
_283_,4.02
_213_,4
_061_,3.985
_030_,3.965
mcand[6],3.93
mplier[24],3.93
_408_,3.9
_257_,3.88
_381_,3.88
_182_,3.68
_368_,3.68
_318_,3.555
_194_,3.54
_233_,3.54
_284_,3.54
_326_,3.54
_417_,3.54
_001_,3.465
_024_,3.44
_183_,3.44
_191_,3.44
_231_,3.42
_248_,3.42
_301_,3.42
_028_,3.345
_069_,3.34
_018_,3.225
_358_,3.22
_241_,3.18
_058_,3.175
_276_,3.1
_130_,3.08
_150_,3.08
_198_,3.08
_219_,3.08
_354_,3.08
_382_,3.08
_072_,3.005
_405_,2.98
_073_,2.96
_133_,2.96
_345_,2.96
_419_,2.96
_048_,2.86
_064_,2.86
_045_,2.785
_067_,2.785
_170_,2.76
_206_,2.76
_334_,2.76
net141,2.76
net143,2.76
net148,2.76
net151,2.76
_426_,2.74
_006_,2.62
_090_,2.62
_141_,2.62
_375_,2.62
_020_,2.585
_065_,2.585
_016_,2.545
_106_,2.52
_401_,2.52
_291_,2.5
_335_,2.5
_370_,2.5
_387_,2.5
_044_,2.325
_131_,2.3
_173_,2.28
_226_,2.18
_112_,2.16
_167_,2.16
_235_,2.16
_292_,2.16
_323_,2.16
net140,2.16
_036_,2.125
_041_,2.125
_042_,2.125
_240_,2.06
_385_,2.06
_386_,2.06
_014_,2.04
_050_,1.915
_019_,1.84
_017_,1.795
_156_,1.7
_221_,1.7
cnt_act\[5\],1.7
_146_,1.48
_029_,1.405
_082_,1.14
_279_,0.92
_139_,0.46
_297_,0.46
_423_,0.46
