net,length_um
net3,844.175
net27,658.22
net4,656.21
net15,647.07
net22,597.41
_1108_,589.02
net66,585.16
net23,584.88
net49,554.26
net65,553.94
net67,551.2
net36,549.28
_1109_,547.96
net12,543.98
net9,539.16
net7,514.66
net19,514.28
net58,494.72
net13,492.93
net44,484.1
net31,482
net35,476.84
net1,475.16
net26,464.94
_0821_,453.11
_0822_,446.61
net8,446.12
net6,445.14
net46,437.68
net47,437.66
net38,432.64
_0323_,428.74
_1172_,426.205
_1021_,419.315
net2,413.93
net30,408.96
_0820_,389.66
net48,384.14
net60,381
_1226_,370.13
_1042_,365.53
net29,361.98
net20,360.14
_1161_,352.865
_1031_,344.66
net11,343.66
net45,343.01
_0758_,342.54
_1128_,337.2
_0504_,324.68
_0623_,323.95
net34,322.22
_0779_,321.62
_0692_,319.84
net16,318.42
_0041_,314.395
net21,312.05
_0650_,309.035
net24,306.96
_0746_,306.46
net10,305.84
_0501_,302.64
_0694_,301.91
net28,298.52
_1096_,295.66
net41,286.42
net14,282.5
net32,282.06
_1010_,280.895
_0888_,280.89
net54,280.38
_0638_,280.04
_0640_,276.7
_0747_,275.48
_0624_,273.565
net25,273.04
_0040_,269.8
net5,269.46
_0844_,267.12
_1269_,267.12
_0327_,266.82
_1222_,265.4
_0918_,265.1
_0272_,264.58
_0712_,263.37
_0128_,258.78
_0651_,257.68
net18,257.58
_1053_,255.94
_1074_,252.135
_0684_,252.12
_0704_,250.3
_0763_,249.54
_0992_,246.42
_0922_,243.74
net56,238.88
_0703_,237.92
_0047_,235.34
net57,234.8
net51,232.75
_0491_,229.66
_1117_,229.66
_0759_,228.7
_0622_,227.675
net84,226.4
_0705_,225.215
_0685_,224.83
_1312_,220.68
_1334_,216.4
_0851_,215.79
_0649_,215.34
_0760_,214.17
_0780_,211.55
_1154_,210.62
_0772_,210.44
_0683_,206.16
_0587_,205.52
_0407_,203.87
_0887_,201.26
_0774_,201.065
_0619_,199.52
_1182_,198.54
_1301_,196.15
_0123_,195.6
net17,192.58
_0143_,192.56
_1290_,188.96
_0109_,186.62
_0117_,186.04
_0537_,177.54
_0762_,174.92
_0530_,173.54
_0001_,170.33
_0000_,168.795
_1019_,167.3
_0532_,165.92
net52,162.14
net53,162.06
net40,161.1
_0571_,158.26
_1068_,158.06
_0629_,156.54
_1293_,156.32
_0648_,154.95
_0637_,153.175
_0823_,153.1
_0514_,147.875
net80,146.06
_0890_,142.72
net39,142.26
_0503_,139.38
_0557_,139.24
net64,137.64
_0178_,137.56
_0916_,132.3
_1073_,127.08
_0192_,126.305
net61,125.34
_1022_,125.305
_1085_,121.16
net63,121.14
_1107_,119.4
_0777_,119.335
net88,118.57
_0281_,115.42
net86,113.595
_0828_,112.72
_0318_,111.22
_0920_,110.52
_0319_,109.66
_0710_,109.06
_0194_,108.14
_0643_,107.58
_0642_,107.28
_0829_,105.24
_0819_,104.78
net50,102.34
_0835_,102.12
_0914_,100.14
_0292_,99.42
_0275_,96.2
_0330_,95.32
_0891_,95.18
_1311_,94.7
_1028_,93.82
_1178_,93.4
_1168_,92.28
_0945_,92
net43,90.9
_1239_,90.715
_0955_,90.54
_1315_,90.28
_1160_,89.62
_0646_,89.25
_0836_,88.92
net37,87.88
_0687_,87.82
_0899_,87.82
_0254_,87.675
_0019_,87.56
_0627_,86.18
_0293_,84.2
_1067_,83.6
net87,83.56
_0989_,83.42
_1330_,80.68
net78,80.48
_0846_,79.885
_1165_,79.58
_0984_,79.12
_1195_,78.72
_0525_,78.4
_1245_,77.84
_0558_,77.44
_1162_,77.44
_1171_,76.84
_0885_,76.76
_1243_,76.12
_1159_,75.78
_0986_,75.3
_0222_,74.86
_1276_,74.18
_0033_,73.52
_0245_,73.24
_0621_,72.9
_0020_,72.4
_1119_,72.34
_1167_,71.34
_0949_,71.3
_0048_,71.26
_1332_,70.83
_0757_,70.8
_0185_,70.62
_0066_,70.54
_0124_,69.64
_0770_,68.66
_1346_,68.24
_0849_,67.22
_1179_,66.4
_0689_,66.02
_0016_,65.66
_0960_,65.52
_0060_,64.9
_1309_,64.8
_1308_,64.76
_1035_,64.64
_1270_,63.58
_0270_,62.785
_1323_,62.66
_0416_,62.46
_1328_,62.41
_0335_,61.88
_0357_,61.88
_1157_,61.64
_0664_,61.14
_0585_,60.84
_0606_,59.9
_0742_,59.22
_0905_,59.18
_0498_,59.02
_0868_,58.86
_0200_,58.5
_0104_,58.44
_0999_,58.42
_0043_,57.94
_0695_,57.66
_1291_,57.46
_0937_,57.3
_0301_,57.04
_1321_,56.6
_1247_,56.53
_0993_,56.16
_0499_,55.4
_0562_,55
_0147_,54.62
_0750_,53.78
_0973_,53.72
_0943_,53.66
_0313_,52.46
_0126_,52.41
_0917_,51.96
_0845_,51.82
_0842_,51.58
_0693_,50.96
_1279_,50.08
_0462_,49.63
_0847_,49.32
net42,49.24
_0538_,49.2
_0791_,48.7
_0841_,48.4
_1151_,48.1
_0269_,48
_1014_,47.905
_1333_,47.6
_0246_,47.5
_0452_,47.36
_1336_,47.14
_1355_,47.13
_0811_,47.06
_0201_,47.02
_0217_,47
_0797_,46.78
_0170_,46.54
_0276_,46.52
_0862_,46.44
_0751_,45.92
_0135_,45.68
_0900_,45.32
_0078_,44.98
_0229_,44.84
_0199_,44.34
_0432_,44.22
_0950_,44.02
_0024_,44
_0560_,43.96
_0974_,43.94
net73,43.76
_1007_,43.265
_0173_,43.26
_0661_,43.16
_0566_,43.14
_0225_,43.1
_0346_,43
_0944_,42.72
_0801_,42.64
_0731_,42.5
_0902_,42.5
_0130_,42.44
_0656_,42.3
_0133_,42.16
_0727_,42.06
_0678_,42
_0150_,41.98
_1003_,41.7
_1175_,41.6
_0555_,41.4
_0580_,41.4
_0277_,41.38
_1057_,41.24
_0113_,41.16
_0702_,41.12
_0255_,41.1
_0665_,40.96
_0674_,40.96
_0101_,40.92
_0146_,40.7
_0589_,40.56
_0285_,40.1
_1018_,40
_0129_,39.97
_1024_,39.66
_0341_,39.62
_0148_,39.39
_0223_,39.32
_0553_,39.3
_0006_,39.27
_0940_,39.12
_1012_,39.12
_1218_,38.96
_0083_,38.92
_0380_,38.76
_1236_,38.48
_1143_,38.395
_0607_,38.32
_0332_,38.16
_0274_,38.1
_1268_,38
_0102_,37.94
_0186_,37.92
_0474_,37.92
_0061_,37.775
_0870_,37.7
_0065_,37.56
_0026_,37.5
_1319_,37.46
_1111_,37.22
_0394_,37.02
_0573_,37
_0320_,36.78
_0831_,36.68
_1186_,36.6
_0804_,36.52
_1345_,36.46
_0618_,36.42
_0809_,36.4
_1139_,36.28
_0803_,36.26
_1284_,36.24
_0967_,36.1
_0597_,35.94
_0030_,35.9
_1329_,35.86
_0134_,35.82
_0179_,35.82
_0662_,35.66
_0976_,35.66
_1337_,35.54
_0723_,35.52
_0089_,35.34
_0400_,34.98
_0068_,34.84
_0470_,34.78
_0213_,34.72
_0084_,34.69
_0410_,34.64
_0781_,34.64
_0305_,34.58
_0153_,34.52
_1354_,34.44
_0092_,34.31
_0392_,34.2
_0834_,34.12
_1144_,34.06
_0614_,33.92
_0480_,33.82
_0814_,33.76
_0933_,33.66
_0367_,33.52
_0337_,33.34
_0354_,33.04
_0904_,33.04
_0389_,32.98
_1228_,32.96
_1177_,32.92
_0556_,32.52
_0038_,32.5
_0355_,32.48
_0680_,32.46
_0529_,32.4
_0488_,32.3
_0446_,32.26
_0090_,32.18
_0183_,32.18
_0414_,32.18
_0054_,32.02
_0672_,31.96
_0096_,31.9
_0790_,31.9
_1353_,31.88
_0948_,31.76
_0608_,31.68
_0615_,31.54
_0987_,31.535
_0176_,31.48
_0131_,31.42
_1052_,31.42
_0734_,31.36
_0149_,31.12
_0197_,31.1
_0209_,31.05
_0666_,30.98
_0874_,30.92
_0136_,30.78
_1211_,30.78
_1041_,30.7
_0214_,30.58
_0331_,30.52
_0969_,30.48
_1203_,30.44
_0386_,30.42
_0736_,30.4
_0154_,30.34
_0244_,30.26
_0311_,30.2
_0764_,30.08
_0350_,29.66
_0401_,29.5
_0575_,29.44
_0174_,29.28
_0411_,29.22
_0037_,29.18
_0163_,29.18
_0934_,29.16
_0230_,29.12
_0252_,29.1
_0076_,29.08
_0155_,29.08
_0598_,29.04
_0172_,29.03
_0365_,29.02
_0953_,28.98
_0526_,28.86
_0963_,28.835
_0978_,28.78
_0085_,28.735
_0739_,28.62
_0018_,28.6
_0248_,28.52
_0569_,28.44
_0886_,28.16
_0417_,28.02
_0421_,28.02
_0162_,27.9
_0861_,27.9
_0017_,27.82
_1250_,27.8
_0605_,27.78
_1087_,27.76
_0344_,27.72
_1142_,27.66
_1069_,27.62
_0105_,27.6
_1127_,27.455
_1061_,27.38
_0962_,27.24
_1141_,27.22
_1070_,27.18
_1008_,27.1
_0794_,27.08
_0988_,27.02
_0393_,26.89
_1187_,26.84
_1126_,26.78
_0321_,26.74
_0872_,26.74
_0382_,26.72
_0990_,26.7
_0754_,26.66
_0395_,26.64
_0202_,26.62
_1278_,26.62
_0456_,26.6
_1326_,26.6
_0049_,26.58
_0211_,26.58
_0787_,26.58
_1134_,26.58
_1025_,26.52
_1248_,26.48
_0424_,26.46
_0180_,26.42
_0442_,26.36
_0696_,26.36
_0875_,26.32
_1118_,26.26
_0402_,26.24
_0915_,26.24
_0812_,26.22
_0387_,26.16
_1217_,26.14
_0604_,26.06
_0053_,25.98
_0212_,25.98
_1202_,25.92
_0218_,25.9
_1132_,25.86
_0864_,25.8
net90,25.64
_0863_,25.62
_0310_,25.52
_0512_,25.48
_0865_,25.48
_0815_,25.42
_0067_,25.36
_1054_,25.36
_1120_,25.36
_1193_,25.28
_0203_,25.22
_0634_,25.22
_0691_,25.16
_0568_,25.12
_0882_,25.08
_0125_,24.98
_1077_,24.95
_0668_,24.8
_0852_,24.78
_0802_,24.74
_0364_,24.72
_1088_,24.7
_0271_,24.575
_0539_,24.57
_0458_,24.46
_1145_,24.42
_1223_,24.38
_1267_,24.32
_0921_,24.28
_0342_,24.26
_0793_,24.22
_1360_,24.2
_0908_,24.12
_1136_,24.12
_0086_,24.06
_0051_,24
_0261_,24
_0786_,23.94
_0971_,23.91
_0206_,23.84
_0234_,23.84
_0477_,23.8
_0670_,23.8
_1100_,23.8
_1110_,23.68
_0647_,23.615
_0340_,23.54
_1188_,23.51
_0756_,23.5
_1343_,23.46
_0003_,23.4
_0012_,23.38
_0042_,23.38
_1033_,23.38
_0377_,23.36
_0361_,23.34
_1079_,23.32
_0671_,23.26
_1230_,23.26
net91,23.23
_0188_,23.18
_0268_,23.15
_1288_,23.14
_0316_,23.12
_0094_,23.04
_0667_,23.04
_1059_,23.04
_1076_,22.98
_1362_,22.98
_0207_,22.97
_1216_,22.94
_0195_,22.92
_0022_,22.9
_1091_,22.875
_0251_,22.84
_0288_,22.84
_1254_,22.84
_0224_,22.8
_0972_,22.76
_0345_,22.66
_1004_,22.66
_1097_,22.64
_0765_,22.6
_1065_,22.6
_1084_,22.6
_0015_,22.585
_0507_,22.58
_0572_,22.56
_0995_,22.55
_1062_,22.5
_0941_,22.44
_0520_,22.42
_0798_,22.42
_0177_,22.38
_0490_,22.32
_0688_,22.32
_1196_,22.28
_0426_,22.24
_1055_,22.24
_0282_,22.22
_1297_,22.16
net74,22.14
