net,length_um
_0713_,22.1
_0298_,22.08
_0304_,22.08
_0071_,22.04
_0137_,22.02
_0205_,22
_1185_,21.96
_1320_,21.96
_0044_,21.9
_0968_,21.9
_1324_,21.9
_0521_,21.84
_0156_,21.8
_0508_,21.7
_1363_,21.69
_1192_,21.66
_1131_,21.54
_1261_,21.54
_1281_,21.52
_0418_,21.5
_0977_,21.5
_1101_,21.5
_0013_,21.42
_0582_,21.42
_0738_,21.42
_1155_,21.42
_0740_,21.4
_0358_,21.38
_0813_,21.38
_0145_,21.36
_0924_,21.3
_0939_,21.28
_0869_,21.26
_0427_,21.24
_0628_,21.24
_1060_,21.24
_1358_,21.22
_0730_,21.2
_0677_,21.18
_0966_,21.14
_0706_,21.12
_0873_,21.11
_0600_,21.05
_0551_,21.04
_0264_,21
_1000_,20.98
_0541_,20.96
_0982_,20.96
_1095_,20.96
_0858_,20.88
_0594_,20.84
_0376_,20.82
_1102_,20.78
_0336_,20.76
_0805_,20.76
_0824_,20.76
_0884_,20.74
_0383_,20.72
_0636_,20.64
_0242_,20.62
_0931_,20.6
_0655_,20.525
_0980_,20.48
_0227_,20.42
_0906_,20.4
_1286_,20.395
_0690_,20.3
_0257_,20.28
_1194_,20.275
_0250_,20.24
_0843_,20.24
_1083_,20.18
_0099_,20.12
_1026_,20.12
_1166_,20.05
_0334_,20
_0956_,19.96
_1135_,19.96
_0161_,19.94
_0008_,19.92
_0088_,19.86
_0007_,19.82
_0366_,19.76
_0897_,19.75
_0191_,19.74
_0356_,19.7
_0586_,19.7
_0907_,19.7
_0726_,19.66
_0494_,19.62
_0732_,19.6
_1282_,19.58
_0444_,19.52
_0534_,19.5
_0719_,19.5
_1277_,19.5
_0240_,19.42
_0079_,19.36
_0111_,19.295
_0720_,19.26
_1241_,19.25
_0825_,19.24
_1307_,19.24
_0817_,19.22
_1121_,19.2
_0549_,19.18
net69,19.18
_0998_,19.16
_1064_,19.16
_1235_,19.14
_0307_,19.12
_0398_,19.1
_1153_,19.08
_0545_,19
_1092_,18.99
_0515_,18.98
_0256_,18.94
_0259_,18.94
_0527_,18.94
_1075_,18.92
_0035_,18.9
_0979_,18.9
_1220_,18.9
net76,18.9
_1105_,18.88
_0419_,18.84
_0262_,18.82
_1130_,18.79
_0429_,18.78
_0408_,18.76
_1048_,18.73
_0116_,18.72
_0390_,18.7
_1271_,18.7
_0290_,18.68
_0785_,18.66
_0592_,18.58
_0855_,18.58
_1063_,18.58
_1257_,18.57
_1285_,18.56
_0468_,18.54
_0879_,18.52
_0077_,18.48
_0295_,18.48
_0881_,18.48
_0196_,18.46
_0721_,18.46
_1262_,18.46
_1146_,18.455
_0464_,18.42
_0961_,18.42
_1133_,18.4
_1255_,18.38
_1231_,18.34
_1280_,18.32
_0009_,18.3
_0681_,18.26
_0283_,18.22
_0062_,18.2
_0237_,18.13
_0860_,18.12
_0716_,18.1
_0729_,18.1
_0833_,18.1
_1200_,18.1
_1209_,18.1
_0658_,18.07
net75,18.04
_1001_,18.02
_0448_,18
_0942_,18
_0593_,17.98
_1016_,17.98
_0912_,17.95
_0440_,17.94
_0459_,17.94
_0014_,17.9
_0782_,17.9
_0923_,17.9
product[21],17.9
_1169_,17.89
_0403_,17.88
net68,17.88
_0063_,17.86
_0929_,17.78
_1044_,17.76
_0028_,17.74
_0707_,17.72
_0221_,17.7
_0554_,17.68
_1049_,17.68
_0724_,17.66
_0997_,17.66
net71,17.66
_1040_,17.65
_0204_,17.64
_0167_,17.56
_0473_,17.56
_0856_,17.52
_0158_,17.51
_1043_,17.5
_0792_,17.48
net70,17.48
_1058_,17.46
_0461_,17.4
_0652_,17.4
_1344_,17.36
_0216_,17.34
_1036_,17.34
_0743_,17.32
_1272_,17.28
_1351_,17.28
_1237_,17.24
_0524_,17.22
_1349_,17.22
_0493_,17.18
_0753_,17.18
_0901_,17.18
_1225_,17.18
_1275_,17.18
_1197_,17.16
_1081_,17.15
_0120_,17.1
_1292_,17.1
_1356_,17.1
_0287_,17.08
_1256_,17.07
_0546_,17.06
_0866_,17.06
_0928_,17.06
_0728_,17.025
_0193_,17.02
_0471_,17
_0909_,17
_0657_,16.98
_0878_,16.96
_0198_,16.94
_1207_,16.94
_0818_,16.935
_0266_,16.86
_0827_,16.86
_0853_,16.86
_1113_,16.86
_1298_,16.86
_1189_,16.85
_0936_,16.82
_1317_,16.8
_0258_,16.76
_0233_,16.74
_1046_,16.74
_0314_,16.72
_0565_,16.72
_0715_,16.72
_1011_,16.72
_1289_,16.72
_0434_,16.645
_0182_,16.62
_0744_,16.58
_1173_,16.57
_0039_,16.56
_0140_,16.56
_0308_,16.52
_1163_,16.52
_1208_,16.48
_0210_,16.36
_0985_,16.34
_0348_,16.3
_1072_,16.3
_0994_,16.28
_1099_,16.28
_0160_,16.26
_0927_,16.22
_0249_,16.2
_0717_,16.18
_0516_,16.16
_0930_,16.16
_1137_,16.15
_0378_,16.14
_0700_,16.14
_1039_,16.14
_1347_,16.12
_0279_,16.1
_0947_,16.1
_1138_,15.94
_0087_,15.93
_0612_,15.925
_0436_,15.92
_1294_,15.92
_1305_,15.92
_1078_,15.9
_0660_,15.8
_0880_,15.78
_0482_,15.76
_1260_,15.76
_0543_,15.72
_0991_,15.72
_1364_,15.72
_0294_,15.7
_0073_,15.64
_0127_,15.64
_1020_,15.64
_1365_,15.64
_0528_,15.6
_1098_,15.6
_0635_,15.56
_0056_,15.52
_0722_,15.5
_0220_,15.48
_0850_,15.46
_1051_,15.46
_0142_,15.44
product[1],15.4
_0115_,15.36
_0778_,15.36
_1232_,15.36
_0596_,15.33
_1116_,15.28
_0119_,15.26
_0522_,15.26
_1034_,15.24
_0091_,15.22
_0867_,15.22
_1129_,15.18
_0046_,15.16
_0531_,15.16
_0159_,15.14
_0476_,15.14
_1170_,15.14
_0372_,15.06
_0164_,15.04
_0859_,15.02
_0938_,15.02
_0996_,15.02
_1080_,15.02
_0267_,15
_1002_,14.92
_0074_,14.9
_0895_,14.9
_0626_,14.89
_1224_,14.88
_0034_,14.87
_1103_,14.84
_0517_,14.78
_0894_,14.78
_1086_,14.775
_0954_,14.72
_1246_,14.67
_1338_,14.66
_0932_,14.64
_1125_,14.64
_0451_,14.58
_0926_,14.56
_0981_,14.56
_0413_,14.55
_0577_,14.54
_1300_,14.535
_0243_,14.44
_0959_,14.42
_1244_,14.42
_1082_,14.365
_0368_,14.36
_0542_,14.34
_1190_,14.34
_0072_,14.3
_1299_,14.3
_0241_,14.26
_0396_,14.26
_1071_,14.24
_0725_,14.18
_0935_,14.16
_1219_,14.14
_0300_,14.1
_0806_,14.1
_1205_,14.1
_1359_,14.08
_0228_,14.06
_0453_,14.06
_0165_,14.04
_0021_,14.02
_0057_,14.02
_0302_,14
_0373_,14
_0767_,14
_0857_,14
_0588_,13.98
_1094_,13.98
_1029_,13.96
_1124_,13.96
_0486_,13.9
_1210_,13.895
_0363_,13.89
_0381_,13.88
_1233_,13.88
_1148_,13.86
_0788_,13.8
_0121_,13.76
_0578_,13.76
_1106_,13.72
_0583_,13.64
_0766_,13.64
_1015_,13.62
_1032_,13.6
_0157_,13.52
_0599_,13.52
_0711_,13.52
_0965_,13.52
_1009_,13.52
_1174_,13.52
mplier[4],13.52
_0911_,13.5
_1006_,13.42
_1045_,13.42
_0059_,13.38
_0329_,13.38
_0574_,13.38
_0609_,13.38
_0673_,13.34
_0187_,13.3
_0449_,13.3
product[5],13.3
_0840_,13.26
_0708_,13.24
_0005_,13.22
_0430_,13.22
_0775_,13.2
_0457_,13.18
_1090_,13.18
mcand[13],13.18
_0181_,13.16
_0659_,13.16
_0353_,13.1
_0362_,13.1
_0443_,13.1
_1296_,13.1
_0050_,13.08
_1215_,13.08
_1316_,13.07
_1050_,13.06
mcand[14],13.06
_0080_,13.04
_0466_,13.015
_1361_,13
product[30],12.98
_0360_,12.96
_0783_,12.96
_0799_,12.96
_0957_,12.96
_1221_,12.96
_0975_,12.94
_1341_,12.92
_0883_,12.88
_0644_,12.82
_0795_,12.82
product[16],12.82
_0284_,12.8
_0789_,12.76
_1206_,12.76
_0465_,12.74
_1340_,12.74
_0877_,12.66
_0903_,12.66
_0919_,12.64
_0428_,12.62
_0654_,12.62
_0469_,12.61
_0510_,12.58
_0570_,12.58
_0701_,12.56
_0122_,12.52
_1114_,12.5
_1265_,12.5
_0058_,12.48
_1089_,12.46
_1164_,12.46
_1357_,12.38
_0483_,12.3
_0893_,12.29
_0422_,12.28
_0603_,12.26
_0595_,12.2
_0653_,12.2
_1303_,12.2
_0081_,12.12
_0548_,12.08
_0567_,12.04
_1147_,12.04
_0011_,12
_0784_,11.985
_0265_,11.97
_0247_,11.96
_0495_,11.94
_0027_,11.92
_1242_,11.92
product[18],11.92
product[4],11.92
_1352_,11.9
_0454_,11.83
_0808_,11.82
_0816_,11.82
_1047_,11.78
_0540_,11.76
_0481_,11.7
_0641_,11.7
_0239_,11.68
_1104_,11.66
_1264_,11.62
_0735_,11.6
_0406_,11.58
_0519_,11.58
_0052_,11.5
_0112_,11.5
_0215_,11.48
_0439_,11.48
_1212_,11.48
_0910_,11.47
_0697_,11.46
_0431_,11.4
_0326_,11.36
_0854_,11.36
_1348_,11.36
_0226_,11.34
_0114_,11.32
_0139_,11.24
_1005_,11.18
_0370_,11.16
_0714_,11.16
mcand[11],11.15
_0238_,11.14
mplier[1],11.14
_0898_,11.08
_0591_,11.04
_1115_,11.04
mplier[5],11.02
product[10],11
product[15],11
product[17],11
product[3],11
_0151_,10.96
_0296_,10.96
_1229_,10.96
mplier[15],10.93
_0032_,10.92
_0502_,10.88
mplier[6],10.88
_0299_,10.78
_0371_,10.78
_1252_,10.78
mcand[15],10.76
mcand[5],10.76
mcand[6],10.76
mplier[10],10.76
_0478_,10.74
_0564_,10.7
_1295_,10.62
_0405_,10.58
_1283_,10.48
_0138_,10.44
_1030_,10.44
_1304_,10.44
_0952_,10.36
_0055_,10.32
_0306_,10.32
_0579_,10.3
_0718_,10.3
_0771_,10.28
_0755_,10.2
_0535_,10.18
_0463_,10.12
_0970_,10.1
_0513_,10.06
_0315_,10
mplier[11],9.99
_0450_,9.98
_0631_,9.94
_0106_,9.905
_1149_,9.86
_0369_,9.8
mplier[7],9.64
_0339_,9.62
_0004_,9.58
_0581_,9.58
_0601_,9.58
_1325_,9.58
mplier[13],9.53
_0278_,9.5
_0324_,9.44
_0317_,9.42
_0576_,9.4
_0602_,9.38
_1038_,9.38
_1176_,9.36
net59,9.36
_0745_,9.34
product[24],9.3
_1093_,9.28
_0964_,9.21
_0208_,9.19
mplier[2],9.18
_0397_,9.16
_1251_,9.16
_0184_,9.14
_0830_,9.08
_0800_,9.06
_0031_,9.05
_1112_,9.02
_1249_,9.02
_0404_,8.98
_0590_,8.98
_1201_,8.98
_0523_,8.96
_0552_,8.96
product[22],8.96
product[28],8.96
product[6],8.96
_0303_,8.94
_0682_,8.94
_0741_,8.9
mcand[4],8.84
_0132_,8.82
_0475_,8.82
_0144_,8.8
_0385_,8.76
mcand[7],8.72
mcand[8],8.72
mplier[3],8.72
mplier[9],8.72
_0496_,8.7
mcand[2],8.63
_0610_,8.62
_1204_,8.62
net82,8.62
_0832_,8.615
_0231_,8.56
_0286_,8.56
_0235_,8.55
_0550_,8.52
net95,8.52
_0925_,8.48
_1150_,8.44
_0075_,8.4
_0796_,8.38
_0633_,8.28
_0737_,8.28
_0699_,8.26
_1366_,8.16
_0399_,8.14
_0110_,8.135
_0118_,8.12
_0485_,8.12
_0616_,8.1
_0166_,8.06
_0625_,8.06
product[19],8.04
product[27],8.04
_0045_,8.02
_0509_,8.02
_0544_,8.02
net85,8.02
net33,7.98
_1199_,7.96
mcand[10],7.95
mplier[8],7.95
mplier[0],7.93
_0280_,7.82
_0769_,7.74
_0260_,7.68
_0584_,7.68
_0253_,7.66
_0273_,7.66
_0023_,7.64
_0639_,7.64
_0676_,7.64
_1123_,7.64
net55,7.64
_0036_,7.62
mcand[3],7.59
_1037_,7.58
_1306_,7.58
_0441_,7.56
_0630_,7.56
_0810_,7.56
_0951_,7.56
_0489_,7.52
_1184_,7.52
_0425_,7.46
_1213_,7.4
_0611_,7.34
_0632_,7.315
_0876_,7.28
_0518_,7.22
_1180_,7.22
_1181_,7.22
_1013_,7.18
net77,7.18
_1274_,7.16
_0768_,7.15
_0169_,7.1
_0679_,7.1
_1152_,7.08
_0487_,7.06
_1234_,7.06
_0613_,6.96
_0506_,6.94
mcand[9],6.91
_0807_,6.86
_0467_,6.84
_0347_,6.78
_0082_,6.76
_0351_,6.74
_0505_,6.74
_0761_,6.74
_0773_,6.66
net79,6.66
net81,6.66
_0103_,6.64
_1322_,6.5
_1023_,6.49
_0098_,6.4
_0561_,6.4
net94,6.36
_0108_,6.3
_0415_,6.3
_0839_,6.3
_0010_,6.28
_0168_,6.28
_0291_,6.26
product[12],6.21
product[25],6.21
product[26],6.21
product[31],6.21
_1027_,6.18
_0838_,6.16
_0433_,5.98
_0620_,5.86
_0152_,5.82
_0698_,5.82
_0826_,5.82
_0946_,5.8
_1240_,5.8
product[23],5.75
product[2],5.75
_0236_,5.72
_0455_,5.68
_0871_,5.6
product[13],5.53
product[14],5.53
product[29],5.53
_0069_,5.52
_0297_,5.48
product[0],5.41
_0309_,5.4
_0423_,5.4
_0749_,5.4
_0437_,5.34
_0663_,5.34
_0709_,5.34
_1214_,5.34
_1302_,5.34
net89,5.28
_0438_,5.26
net62,5.26
_0095_,5.22
_0190_,5.22
_1263_,5.22
product[8],5.19
product[9],5.07
_0669_,5.04
mcand[0],4.95
mplier[14],4.95
_0460_,4.92
_0563_,4.92
_1310_,4.92
_0002_,4.88
product[11],4.85
product[7],4.85
_0479_,4.82
_0533_,4.8
mplier[12],4.73
_0686_,4.7
_1314_,4.7
_1017_,4.61
_0312_,4.6
_0388_,4.6
_1327_,4.6
_0445_,4.58
_0107_,4.48
_0232_,4.46
_0776_,4.46
_1122_,4.46
_1258_,4.46
_1273_,4.46
_1339_,4.46
_0175_,4.42
_0435_,4.42
product[20],4.39
_0447_,4.36
_0379_,4.34
_1238_,4.34
_0645_,4.27
mcand[12],4.27
_0752_,4.14
_1183_,4.12
_0536_,4.1
_0409_,4.02
_0913_,4.02
mcand[1],3.93
_1331_,3.9
_0497_,3.88
net92,3.88
_0352_,3.56
_0492_,3.56
_0547_,3.56
_0896_,3.56
_0100_,3.54
_0333_,3.54
_0322_,3.42
_0384_,3.42
_0559_,3.42
_0837_,3.42
_1066_,3.42
_1156_,3.42
_0097_,3.1
_0189_,3.1
_0263_,3.1
_1198_,3.1
_1259_,3.1
_1335_,3.1
_0064_,3.08
_0359_,3.08
_0484_,3.08
_0617_,3.08
_0343_,3.06
_0412_,2.98
_0289_,2.96
_0420_,2.96
_0500_,2.96
_0958_,2.96
_0983_,2.96
_1266_,2.96
net93,2.76
_0472_,2.74
_0025_,2.62
_0070_,2.62
_0093_,2.62
_0338_,2.62
_0391_,2.62
_1227_,2.62
net83,2.55
net72,2.52
_0171_,2.5
_0733_,2.5
_0889_,2.5
_1158_,2.38
_0219_,2.3
_1350_,2.3
_0748_,2.28
_1140_,2.28
_0892_,2.18
_0349_,2.16
_0675_,2.16
_1253_,2.16
_1318_,2.16
_0141_,2.04
_0375_,2.04
_1342_,2.04
_1313_,1.94
_0029_,1.84
_1056_,1.84
_0328_,1.72
_0511_,1.7
_0848_,1.7
_1287_,1.7
_0374_,1.46
_1191_,1.38
_0325_,0.8
